word,frequency
provide,39
nonexhaustive,1
list,5
solution,19
initiatives,3
artificial,79
intelligence,90
solve,4
recurring,1
problem,29
africa,3
despite,9
existing,13
continent,2
not,29
fully,5
benefiting,1
challenge,36
facing,2
numerous,2
diverse,1
forefront,3
related,12
difficult,7
access,11
large,9
amount,6
quality,12
storage,1
regulatory,6
require,4
good,5
connection,1
considerable,1
energy,14
requirements,3
unfortunately,1
container,1
suffers,1
lack,5
broadband,1
infrastructure,9
operation,7
skilled,2
workforce,2
education,26
conducive,1
skills,6
schools,1
university,4
enough,1
young,6
graduates,1
labor,3
market,19
strong,4
competence,1
addition,10
there,21
effective,14
funding,4
innovation,18
nevertheless,2
promote,10
already,2
exist,3
possible,15
ecosystem,8
building,8
redesign,1
national,11
regional,2
strategy,41
finally,13
key,18
sustainable,18
influencing,1
factors,13
indicator,5
smart,20
home,4
product,5
design,41
discussed,8
traditional,8
concept,15
household,5
appliances,1
premise,1
environment,25
friendly,3
planning,16
suggested,2
decisionmaking,19
expansion,3
suggest,9
reference,4
developers,2
designers,1
promoters,1
movement,3
projectile,4
mass,3
charge,1
static,3
important,15
various,18
physics,2
ranging,3
particle,1
rocket,1
case,11
solely,1
dependent,2
initial,6
velocity,5
provided,5
determination,1
complicated,1
complex,12
neural,9
network,42
modelling,2
accurately,2
estimate,6
aidriven,2
estimation,1
extremely,3
supervised,2
learning,61
due,6
seen,2
example,15
state,13
position,3
action,10
relation,6
known,1
work,22
treated,2
continuousactionspace,1
contextual,2
bandit,1
networkbased,1
actor,3
critic,2
model,52
determine,8
tested,2
configuration,3
pythonbased,1
gui,1
named,3
pygame,1
training,6
success,3
rate,6
hitting,1
targeted,3
destinations,1
respectively,7
implies,3
successfully,3
high,12
accuracy,7
sentiment,8
emotion,1
opinion,4
mining,2
natural,7
language,7
processing,7
nlp,1
identify,22
quantify,1
obtain,2
tacit,1
subject,4
information,33
broad,2
spectrum,1
area,28
influenced,2
government,38
finding,3
mental,12
health,43
individual,12
misuse,2
drugs,1
healthcare,12
fraud,2
detection,8
financial,9
sector,18
covid19,11
awareness,2
impact,19
cybercrime,1
etc,7
amplitude,1
social,32
media,13
increase,9
day,3
need,24
automatically,2
address,13
deep,25
handle,2
well,20
incomprehensibility,1
decision,45
better,16
trust,15
believe,2
fairness,2
reliability,4
unbiasing,1
explore,8
along,2
popular,4
technique,19
interpretability,1
evaluation,7
criteria,3
indicate,7
new,25
literally,1
mean,4
intelligent,17
referred,1
digital,25
guaranteed,1
innovative,8
tool,20
internet,9
thing,7
iot,6
device,7
communication,6
cloud,5
computing,14
big,15
thanks,2
sensors,1
connected,5
patient,5
technologically,1
advanced,7
bracelets,1
watches,1
collect,2
people,12
treat,2
even,6
remotely,1
anticipating,1
critical,9
situations,1
occur,6
support,21
lead,7
suitable,1
recommendation,6
best,3
improving,4
life,4
assisting,3
practitioners,10
providers,2
collecting,1
exchanging,2
helping,3
prevent,3
events,5
heart,1
attack,5
illness,4
immense,2
anticipate,1
future,32
recent,16
year,19
sparked,1
tremendous,1
global,14
interest,6
impacting,1
widely,3
adopted,5
image,3
recognition,3
speech,1
vehicle,8
translating,1
biomedical,1
improved,6
human,51
present,22
literature,19
review,20
conducted,10
methodology,12
algorithm,27
main,10
explored,3
class,3
sequencing,3
soft,1
material,7
protein,3
polymer,3
formulated,2
heuristic,4
search,9
involves,5
akin,1
computer,13
game,21
gaming,1
monte,1
carlo,1
tree,4
mcts,4
gained,2
prominence,1
exemplary,1
performance,22
aimed,6
identifying,3
path,5
move,4
reach,3
final,2
winning,1
optimal,8
major,8
inverse,2
space,11
vast,2
property,4
sequence,5
computationally,2
demanding,2
reaching,1
minimizing,1
total,4
number,12
cycle,1
highly,7
desirable,2
demonstrate,8
adopt,5
solving,4
developing,19
growing,8
node,4
candidate,7
fitness,1
directly,5
molecular,2
simulation,7
interface,2
representative,3
designing,1
copolymer,2
compatibilizer,1
goal,7
specific,5
zero,2
interfacial,2
immiscible,1
homopolymers,1
apply,7
chain,6
lengths,1
varying,1
10mer,1
30mer,1
wherein,1
overall,6
vary,3
∼1,1
billion,1
target,5
within,12
few,1
hundred,1
demonstrating,1
scalability,1
efficiency,11
exploring,3
practical,9
exceedingly,1
chemicalmaterial,1
mctsmd,1
framework,26
easily,3
extended,3
several,6
particular,7
sequenceproperty,1
unavailable,1
andor,2
resource,13
intensive,1
journal,1
purpose,17
india,12
designmethodologyapproach,5
studies,19
focus,15
group,9
discussion,14
source,5
company,11
websites,2
indian,6
reports,2
implemented,3
location,2
relevant,9
document,4
charter,1
help,17
authority,2
frame,1
