word,frequency
subject,7
legal,16
instrument,8
environmental,12
protection,6
combatting,2
climate,8
change,26
common,9
agricultural,7
cap,6
2023–2027,1
conducted,9
context,21
model,100
adopted,4
european,13
union,6
starting,3
point,10
consideration,9
construction,4
new,45
budget,1
well,19
shape,5
legislator,1
possible,7
impact,17
geopolitical,3
situation,3
implementation,35
objective,16
examined,3
significantly,13
strengthened,1
disbursement,1
increasingly,6
higher,10
amounts,3
support,14
depend,3
now,4
things,4
member,2
state,15
green,5
architecture,6
expanded,1
ambitious,1
concern,17
sphere,2
activity,8
only,21
assess,4
effectiveness,11
environmentalclimate,1
once,2
experience,13
gained,1
turn,2
out,8
due,24
need,21
ensure,9
food,5
security,5
globally,7
necessary,7
modify,2
priority,7
even,8
expense,1
environment,13
challenge,53
artificial,74
intelligence,78
transforming,2
practice,37
medicine,7
assessing,2
chest,1
radiographs,1
pathology,4
slide,4
early,9
warning,2
embedded,4
electronic,2
health,57
records,2
ehrs,1
becoming,2
ubiquitous,1
medical,16
despite,7
students,3
minimal,4
exposure,3
concept,4
leaving,1
prepared,3
future,42
clinical,12
must,11
work,22
quickly,3
bolster,1
undergraduate,1
education,15
around,8
remedy,1
commentary,2
educators,2
treat,2
critical,20
component,8
introduced,3
integrated,7
core,2
school,1
curricula,1
equipping,1
graduating,1
knowledge,16
skills,9
solve,8
arising,1
confluence,1
open,8
opportunity,8
stem,6
k12,1
professional,7
book,4
summarize,5
aied,4
particular,11
focus,17
technological,11
paradigmatic,2
shifts,3
recent,12
year,13
chapter,5
edited,1
collection,5
track,3
discussing,3
paradigm,9
shifted,2
explaining,1
way,23
technique,20
ensured,1
envisioning,1
direction,8
nextgeneration,1
heading,2
era,4
whole,2
illuminates,1
main,11
aienhanced,2
applications,17
enable,4
discuss,8
teaching,1
learning,51
design,22
provide,28
adapted,3
educational,5
practitioners,2
better,7
facilitate,3
mustread,1
researcher,14
designers,3
engineers,2
interested,1
decisionmaking,25
problem,31
autonomous,8
driving,9
challenging,5
scenario,5
real,4
time,33
huge,5
space,16
action,11
besides,3
there,25
multiple,6
agent,12
difficult,5
predict,9
fast,6
auxiliary,3
monte,4
carlo,3
tree,2
search,5
mcts,1
first,30
ego,3
vehicle,6
controlled,3
basic,1
heuristic,2
built,3
human,60
then,7
improve,27
ability,8
pruning,2
reduce,16
cost,13
carried,3
simulation,24
platform,12
carla,1
show,14
stronger,1
potential,27
grown,1
exponentially,2
not,36
generate,6
value,16
create,9
risk,26
characterised,2
complexity,9
opacity,2
autonomy,3
operation,3
foreseeable,1
operating,4
manner,4
fully,6
signifies,1
providing,7
appropriate,1
incentives,3
parties,3
involved,2
still,7
great,5
importance,5
reducing,5
airelated,1
harm,5
liability,9
rules,6
relevant,11
efficiently,3
social,25
accident,9
relying,1
law,13
economic,11
address,17
theoretical,7
question,17
kind,5
along,6
chain,6
related,14
addition,8
critically,2
analyse,6
ongoing,3
debate,4
policymakers,7
fail,2
determine,4
efficient,10
regard,5
stakeholder,10
intermittent,1
androgen,2
deprivation,2
therapy,2
iadt,2
widely,1
clinic,1
treatment,16
prostate,4
cancer,6
filippov,1
define,3
following,5
threshold,5
adt,1
implemented,4
concentration,9
androgendependent,1
cells,8
exceed,2
level,19
suspended,1
otherwise,2
understand,8
effect,15
evolution,2
perform,2
comprehensive,8
qualitative,8
global,19
dynamic,15
targeted,2
varies,2
admits,1
multistability,1
equilibria,2
bistability,1
stability,3
regular,2
equilibrium,2
pseudoequilibrium,1
boundary,1
bifurcation,1
steadystate,1
regime,2
include,17
high,15
low,3
androgenindependent,1
highlight,6
role,26
initial,2
condition,10
patient,19
indicate,4
contained,1
relatively,5
satisfactory,1
help,14
schedule,2
outcomes,15
architectural,6
form,10
transformation,3
industrialized,2
society,14
post,2
21st,3
century,3
popularization,1
information,20
cross,3
interaction,10
automation,3
material,13
promoted,1
manufacturing,5
structure,5
energy,22
crisis,3
emergence,2
energysaving,4
building,9
produced,5
influence,15
idea,4
large,11
number,22
contemporary,3
physical,11
see,3
relationship,10
purpose,6
rapid,5
sensitivity,3
nearoptimal,3
contested,2
valuable,3
requirement,9
military,8
logistic,5
port,1
debarkation,1
denial,1
motivates,1
maneuver,1
strategic,7
operational,5
location,4
further,15
complicating,1
testing,1
meet,3
complicated,3
demand,5
consuming,1
output,5
grow,3
input,5
proposes,2
methodology,5
leverage,3
benefit,11
simulationbased,2
insight,6
computational,5
speed,2
approximate,1
programming,2
adp,2
designmethodologyapproach,2
describe,9
simulated,5
demonstrate,7
inform,3
parameters,4
required,6
dialect,1
reinforcement,11
aka,1
qlearning,4
prescribes,1
decision,38
modeled,1
papers,8
conform,1
dod,1
modeling,9
complemented,1
aienabled,3
mean,5
state–space,1
reduction,2
mitigate,4
curse,2
dimensionality,3
massive,5
become,16
unwieldy,1
reflect,3
behavior,10
compare,3
originalityvalue,2
computation,2
attractive,1
divorcing,1
evaluation,9
scenariobased,1
limitation,5
united,3
eager,1
embrace,1
emerging,18
analytic,4
hesitant,1
abandon,1
aid,6
overcome,7
cognitive,3
satisfies,1
desire,4
wield,1
combined,7
explainable,3
xai,5
aim,16
humanai,1
collaborative,2
improving,6
transparency,7
mental,14
formations,2
experiential,1
factor,14
associated,12
user,20
cause,11
anticipate,1
showcase,2
anchoring,1
bias,5
potentially,8
affect,5
initially,1
interact,3
intelligent,11
explanation,6
addressing,7
video,1
recognition,1
tool,10
cooking,1
domain,8
asked,1
participants,2
verify,4
