word,frequency
traditional,3
von,1
neumann,2
computing,10
involve,1
separate,1
processing,3
memory,6
units,2
movement,1
costly,1
term,4
time,5
problem,15
aggravated,1
recent,8
explosive,1
growth,1
highly,2
datacentric,1
applications,18
related,1
artificial,10
intelligence,7
calls,1
radical,1
departure,1
nonvon,1
computational,10
inmemory,2
hereby,1
certain,1
task,12
performed,1
place,1
itself,1
exploiting,1
physical,2
attributes,2
device,23
chargebased,1
resistancebased,1
explored,1
review,13
provide,10
broad,2
overview,5
key,10
primitives,1
enabled,1
well,6
spanning,1
signal,2
optimization,6
deep,13
stochastic,2
partial,2
differential,1
equations,1
pde,5
fundamental,4
model,40
phenomena,2
mathematically,1
solving,2
crucial,2
step,4
toward,2
precise,1
knowledge,1
behavior,1
natural,5
engineered,1
general,3
order,3
solve,7
represent,2
real,2
acceptable,1
degree,3
analytical,1
usually,1
not,4
enough,1
resort,1
discretization,1
probably,1
bestknown,1
option,2
finite,3
element,1
fem,1
powerful,1
alternative,4
meshfree,1
isogeometric,1
iga,1
available,2
idea,2
approximate,2
solution,9
means,3
function,9
specifically,1
built,1
desirable,1
property,5
contribution,2
explore,4
neural,8
network,19
dnns,3
approximation,2
shown,3
impressive,1
area,5
visual,1
recognition,3
regarded,3
here,7
there,1
great,1
flexibility,3
define,1
structure,6
important,3
advances,2
architecture,2
efficiency,6
algorithm,12
implement,3
interesting,1
concentrate,2
interest,4
mechanics,1
possibility,1
adopted,1
collocation,1
strategy,3
work,5
mechanical,5
analyze,1
energetic,1
format,1
seems,1
loss,2
prove,1
concept,5
deal,1
several,1
capabilities,4
rapid,1
increase,3
global,6
demand,6
need,4
replace,1
carbon,1
dioxide,1
co2emitting,1
fossil,1
fuels,1
renewable,2
source,3
driven,2
chemical,2
storage,6
intermittent,1
solar,3
wind,1
energy12,1
particularly,4
attractive,2
electrochemical,1
reduction,2
co2,4
feedstocks,1
energy3–8,1
copper,1
predominant,1
electrocatalyst,3
reaction,1
aiming,2
valuable,1
multicarbon,1
products9–16,1
improvements,1
notable,1
targeting,1
ethylene,4
productivity,1
current,5
density,6
achieved,5
far,3
still,3
fall,1
value,4
required,2
produce,1
costcompetitive,1
prices,1
describe,3
cual,2
identified,1
functional,3
theory,2
calculations,4
combination,3
active,1
efficiently,4
reduce,4
highest,1
faradaic,2
reported,1
per,5
cent,3
compared,5
pure,1
milliamperes,2
square,2
centimetre,2
volts,1
versus,1
reversible,1
hydrogen,1
electrode,1
cathodicside,1
halfcell,1
power,13
conversion,1
±,1
perform,6
studies,2
suggest,2
alloys,1
multiple,4
sites,1
surface,5
orientations,1
nearoptimal,1
binding,1
efficient,7
selective,1
reduction17,1
situ,2
xray,1
absorption,1
measurements,1
reveal,4
enable,3
favourable,1
coordination,1
environment,5
enhance,2
c–c,1
dimerization,1
illustrate,3
computation,4
guiding,1
experimental,3
exploration,3
multimetallic,1
beyond,3
limitations,3
conventional,2
singlemetal,1
stringent,1
requirements,2
lowlatency,1
privacy,3
emerging,3
highstake,1
intelligent,2
drones,1
smart,11
vehicles,3
cloud,7
inapplicable,1
scenarios,3
instead,1
edge,10
become,5
increasingly,1
performing,2
training,15
inference,1
directly,2
sending,2
centralized,1
center,1
stimulates,1
nascent,1
termed,1
federated,12
bandwidth,3
limited,6
mobile,10
distributed,5
manner,3
preserve,1
address,2
issue,2
unbalanced,1
noniid,1
points,1
across,1
averaging,1
aggregation,3
weighted,1
average,2
locally,2
updated,2
selected,4
communication,7
main,3
bottleneck,2
aggregating,1
computed,1
updates,4
novel,4
overtheair,2
fast,2
via,3
exploring,1
superposition,1
wireless,7
multipleaccess,1
channel,6
joint,2
selection,4
beamforming,1
design,9
modeled,1
sparse,3
lowrank,2
support,7
achieve,4
goal,1
differenceofconvexfunctions,1
representation,5
sparsity,1
accurately,1
detect,1
fixedrank,1
constraint,2
procedure,2
further,2
resulting,2
program,7
convergence,2
guarantees,1
algorithmic,1
advantages,7
admirable,1
performance,10
methodologies,1
demonstrated,4
extensive,3
numerical,3
integration,3
photovoltaic,5
grids,2
difficult,1
dependent,1
climate,2
geography;,1
fluctuating,1
erratically,1
causes,1
penetrations,1
voltage,1
surges,1
instability,1
inefficient,1
utility,2
planning,1
financial,1
forecast,4
help;,1
stamp,1
horizon,1
input,7
correlation,2
pre,1
postprocessing,1
weather,2
classification,2
uncertainty,3
quantification,1
evaluation,6
consideration,3
contemporary,1
forecasting,7
technique,13
reviewed,3
correlational,1
analyses,1
irradiance,1
correlated,1
output,2
motion,2
best,5
cleansing,1
normalization,1
wavelet,1
transform,2
augmentation,1
generative,3
adversarial,1
recommended,1
parameter,5
genetic,1
particle,1
swarm,1
emphasized,1
next,4
established,2
metric,4
mae,1
rmse,1
mape,1
discussed,2
suggestions,1
economic,3
subsequently,1
modelling,3
critiqued,1
objectively,1
categorized,1
statistical,1
ensemble,2
hybrid,4
determined,1
short,1
online,2
sequential,3
extreme,2
superb,1
adaptive,2
networks;,1
bootstrap,1
optimum,1
estimating,1
additionally,1
convolutional,1
found,1
excel,1
eliciting,1
underlying,1
nonlinear,1
inputoutput,1
relationship,2
conclusions,1
drawn,1
impart,1
fresh,1
insights,2
initiatives,3
especially,2
evolutionary,2
determining,1
whether,2
outofdistribution,2
ood,4
essential,1
building,2
block,1
safely,1
deploying,1
open,4
world,1
previous,4
relying,1
softmax,4
confidence,3
score,8
suffer,1
overconfident,1
posterior,1
distribution,2
unified,2
framework,7
detection,3
show,6
better,3
distinguish,1
sample,2
than,3
unlike,1
theoretically,1
aligned,1
probability,1
susceptible,1
overconfidence,1
within,3
flexibly,1
scoring,1
pretrained,2
classifier,1
trainable,1
cost,5
shape,1
explicitly,1
cifar10,1
wideresnet,1
fpr,1
tpr,1
energybased,1
outperforms,2
stateoftheart,2
common,2
benchmarks,1
allsolidstate,1
lithium,3
ion,2
battery,7
asslbs,3
considered,2
nextgeneration,1
due,4
safety,1
potentially,2
high,4
component,3
solidstate,3
electrolytes,3
sses,2
nonflammability,1
good,1
adaptability,1
metal,2
anodes,1
attracted,1
attention,1
years,4
composite,1
csses,5
phase,4
greater,1
customize,1
combine,2
singlephase,1
widely,2
investigated,2
recently,5
promising,5
candidates,3
commercial,3
existing,4
investigations,1
herein,1
present,5
comprehensive,3
developments,1
initially,1
introduce,3
historical,2
ionic,2
conductors,1
then,3
summarize,3
mechanism,3
transport,1
principles,2
material,13
types,3
advanced,4
classified,2
highlighted,1
according,1
progress,1
characterization,1
simulation,7
first,7
challenge,10
perspectives,2
provided,7
future,6
journal,1
collaborative,1
train,2
accessing,1
clients,2
private,1
assume,1
central,2
server,6
access,3
excessive,1
overhead,1
long,1
latency,1
enjoys,1
clientedgecloud,1
hierarchical,2
supported,1
hierfavg,2
allow,6
way,5
trained,1
faster,2
communicationcomputation,1
tradeoff,3
effects,2
lead,1
qualitative,1
guidelines,1
empirical,1
verify,2
demonstrate,1
benefit,2
introducing,2
intermediate,1
consumption,4
end,2
simultaneously,2
reduced,1
cloudbased,1
emergence,2
new,5
computeintensive,3
vision,1
internet,1
things,1
iot,1
foreseen,1
5g,7
face,1
unprecedented,1
traffic,1
volume,1
users,4
mostly,1
capacities,1
run,2
resourceconstrained,1
concern,1
mec,6
fifth,1
generation,4
optimize,1
resource,3
hosting,1
large,4
cloudcomputing,1
radio,1
ran,2
close,1
proximity,1
offer,1
contextaware,1
services,3
help,4
information,4
wide,2
variety,1
realtime,3
response,5
strictly,1
driverless,1
augmented,2
reality,2
robotics,1
immerse,1
media,1
indeed,1
paradigm,1
shift,1
4g,1
advent,1
technological,1
successful,1
realization,1
infancy,1
constant,2
efforts,1
academic,1
industry,3
communities,1
survey,2
holistic,1
potential,14
cases,1
outline,2
uptodate,1
researches,1
deployed,1
testbeds,1
activities,2
lessons,1
learned,1
discuss,3
directions,3
transforming,1
complex,6
timeconsuming,1
molecular,10
suitable,1
revolution,1
already,1
profoundly,1
affected,1
particular,1
focus,1
prediction,12
quantummechanical,1
forces,2
coarsegrained,1
dynamic,5
extraction,2
free,3
kinetics,1
equilibrium,1
compute,1
thermodynamics,1
explain,1
methodological,1
physics,2
incorporated,1
finally,3
identify,1
list,1
interface,3
quantitative,1
local,4
descriptor,8
atoms,2
emerged,4
frontier,1
interatomic,2
iaps,3
mliaps,1
atomcentered,3
symmetry,3
acsf,3
smooth,3
overlap,3
atomic,3
positions,3
soap,3
spectral,1
neighbor,1
snap,1
bispectrum,1
moment,1
tensor,3
diverse,2
generated,2
highthroughput,3
dft,1
comprising,1
bcc,1
fcc,1
diamond,1
group,1
semiconductors,1
chosen,3
span,1
range,2
crystal,1
bonding,1
studied,3
excellent,1
predicting,2
surpassing,1
classical,2
elastic,1
phonon,1
dispersion,1
curves,1
observe,1
accuracy,6
freedom,2
consequently,1
context,1
business,1
practices,3
major,5
societal,1
sustainability,5
degradation,1
crisis,1
exceedingly,1
requiring,1
innovative,1
spur,1
groundbreaking,1
practical,1
environmental,3
argue,1
derivation,1
culturally,1
appropriate,1
organizational,1
individual,2
intensity,2
human,6
true,1
society,2
water,1
land,1
higher,3
level,3
facilitates,1
fosters,1
governance,1
literature,2
indicates,2
regarding,2
challenged,1
overreliance,1
uncertain,1
behavioral,1
aibased,2
intervention,4
increased,1
cybersecurity,2
risks,1
adverse,1
impacts,1
difficulties,1
measuring,1
incorporate,1
multilevel,1
views,1
thinking,1
psychological,1
sociological,1
deliver,1
immediate,1
longterm,1
threats,1
humanmachine,2
hmi,3
experience,2
increasing,3
intuitive,1
effective,3
manipulation,2
commercialized,1
glovebased,1
detectable,1
huge,1
fabrication,1
hapticfeedback,1
glove,3
triboelectricbased,1
finger,1
bending,2
sensor,2
palm,1
sliding,2
piezoelectric,3
stimulators,1
multidirectional,1
events,2
virtual,2
space,2
selfgenerated,1
triboelectric,1
various,7
hand,1
haptic,2
stimulation,1
chips,1
realize,2
object,2
integrated,1
demonstration,1
multidimensional,1
feedback,1
lowcost,1
interaction,1
diversified,1
entertainment,1
home,1
healthcare,1
sports,1
medical,1
dscribe,3
software,3
package,5
popular,2
feature,5
transformations,3
atomistic,3
accelerate,2
providing,2
userfriendly,1
offtheshelf,1
implementation,6
currently,1
contains,1
coulomb,2
matrix,6
ewald,2
sum,3
sine,2
manybody,2
mbtr,2
usage,1
illustrated,1
formation,1
solids,1
charge,2
organic,1
molecule,9
freely,1
opensource,2
apache,1
license,1
summary,2
title,2
files,2
doi,2
httpdxdoiorg1017632vzrs8n8pk61,1
licensing,2
provisions,2
apache20,1
programming,2
language,2
pythoncc++,1
supplementary,2
pdf,1
nature,3
hindered,1
lack,1
consistent,1
called,1
library,2
creating,1
following,1
python,2
computationally,1
intensive,1
routines,1
written,1
c++,1
code,2
tutorials,1
documentation,1
continuous,1
automatically,2
series,1
regression,2
test,2
check,1
coverage,1
codebase,1
city,5
aimed,1
manage,1
growing,1
urbanization,1
maintain,1
green,1
improve,6
living,1
standard,2
citizens,1
raise,1
peoples,1
adopt,1
modern,1
ict,2
playing,1
vital,1
role,4
policy,2
decision,3
ultimate,1
productive,1
primary,1
objective,1
reinforcement,3
drl,5
evolution,1
preceding,1
optimal,3
cityoriented,1
indepth,2
details,2
prior,1
transportation,1
itss,1
energyefficient,1
utilization,1
sgs,1
unmanned,1
aerial,1
uavs,1
assure,1
b5g,1
health,2
care,1
aforementioned,1
play,1
outstanding,1
specific,1
computers,1
reprogramming,1
determine,1
state,5
remaining,1
useful,2
life,1
equivalent,1
circuit,1
physicsbased,1
showcase,1
promise,1
accurate,4
highlight,1
involved,1
length,1
overall,2
explainable,1
production,1
management,5
pes,3
scale,1
quantum,3
truly,1
reliable,5
practically,1
nontrivial,1
generator,1
dpgen,4
platform,1
onthefly,1
zhang,1
capable,1
generating,4
uniformly,1
minimizes,1
iteratively,3
labeling,2
lammps,2
espresso,2
vasp,2
cp2k,2
etc,1
deepmdkit,2
automatic,1
job,3
submission,1
result,1
collection,1
clusters,2
tools,2
slurm,2
pbs,2
lsf,2
concrete,1
example,4
generalpurpose,1
httpdxdoiorg1017632sxybkgc5xc1,1
lgpl,1
minimal,1
concurrent,1
scheme,10
implemented,1
sampling,1
configuration,1
initio,1
workstations,1
leverage,1
personalized,1
number,3
nodes,1
preservation,1
maintained,1
worker,6
aggregator,1
collecting,1
iteration,3
unreliable,3
uploaded,1
leading,1
frauds,1
intentionally,1
poisoning,1
attack,1
unintentionally,1
lowquality,1
caused,1
highspeed,1
mobility,1
finding,1
out,1
trusted,1
critical,3
reputation,2
introduced,1
consortium,1
blockchain,1
leveraged,1
decentralized,1
achieving,1
repudiation,1
tampering,1
reliability,2
own,1
build,1
remote,1
consider,1
bandwidthlimited,1
fading,1
gradient,5
descent,1
dsgd,4
shared,1
noisy,1
digital,3
