word,frequency
time,41
well,15
during,93
covid19,105
era,11
gold,2
crude,25
oil,46
commodity,9
influence,14
global,60
stock,87
market,174
real,10
economy,46
mostly,4
focused,4
effect,67
price,55
own,3
volatility,48
whole,4
hasnt,1
gotten,1
attention,13
evaluates,2
impact,82
share,5
marketplaces,1
examine,29
uncertainty,18
overall,8
return,49
several,10
economic,83
sector,28
china,11
japan,2
usa,1
france,2
germany,3
importance,4
index,20
applying,7
quantileonquantile,2
regressionqq,1
dynamic,15
copula,1
markovswitching,2
depict,1
ovx,1
change,36
crosswise,1
single,1
quantile,11
level,25
cumbersome,1
ascertain,1
within,5
adverse,5
varied,2
circumstances,3
equally,2
derive,1
comprehensive,8
understanding,8
correlation,8
cost,22
twofold,1
regression,19
quantilequantile,1
interpret,1
feature,3
approximates,1
experiential,1
show,34
lopsided,1
returns;,1
disproportionate,1
performance,72
alternate,1
not,21
merely,1
nonetheless,2
greater,8
value,12
match,1
robust,8
risk,97
decrease,2
further,22
observed,3
heterogenous,2
hedging,1
effectiveness,7
united,3
state,14
demonstrate,6
growing,7
obtains,1
dual,4
minimal,1
nevertheless,3
plus,2
minimal;,1
increase,16
internet,3
world,14
becoming,5
globalized,1
informationalized,1
enterprise,10
facing,6
unprecedented,2
opportunity,13
operation,6
brought,1
fluctuation,3
general,5
environment,12
company,35
increasing,13
reason,4
encounter,1
serious,5
even,7
close,2
down,1
later,2
stage,3
pay,2
full,2
initial,2
problem,17
effective,13
measure,28
deal,3
warning,2
become,8
important,17
part,3
modern,6
management,28
mainly,6
forward,4
optimized,3
neural,1
early,1
model,44
ensure,4
high,10
prediction,3
accuracy,2
principle,1
related,17
reasoning,1
described,1
shortcomings,1
analyzed,7
solution,2
listed,7
find,28
correct,1
rate,8
distress,4
normal,6
selected,4
bpnn,2
reached,1
than,16
prove,4
environmental,32
emergency,3
energy,101
challenge,16
exposed,3
europe,6
fundamental,3
shift,5
linkages,4
regarding,7
fossil,12
fuel,12
renewable,15
carbon,21
trade,4
investigate,19
spillover,25
var,3
network,19
extreme,12
connectedness,21
underlying,4
asset,21
pronounced,8
compared,10
standard,1
condition,8
case,6
originate,3
primarily,3
account,7
significant,32
contributor,3
hence,3
investor,40
supposed,1
flexible,1
portfolio,17
hedge,9
potential,15
concerning,2
government,12
corresponding,2
initiatives,3
implemented,6
facilitate,1
continuous,1
evolution,2
european,21
union,9
trading,6
transition,14
provide,27
feasible,1
dilemma,2
security,13
climate,43
february,1
russia,4
invaded,1
ukraine,4
analyze,12
response,10
alongside,2
representative,1
sample,12
compare,6
war,23
against,4
recent,18
pandemic,67
nottoodistant,1
har,1
proxy,5
estimate,12
synchronization,1
duration,1
intensity,4
event,19
broad,1
term,7
respond,4
rapidly,2
russian,3
invasion;,1
postinvasion,1
noticeably,2
smaller,1
gfc,4
wheat,1
nickel,1
affected,13
due,20
prominent,5
exporter,1
status,2
country,44
reaction,13
invasion,2
leading,8
indices,4
employing,3
crosssectional,5
day,9
poland,4
denmark,1
portugal,1
exhibit,5
positive,42
cumulative,3
abnormal,7
postevent,4
few,3
nation,7
insignificant,4
attributable,1
geographic,1
proximity,1
zone,1
efficiency,13
nato,1
sanctions,3
fear,4
reduced,3
exports,2
negatively,8
drive,7
window,5
contrary,1
previous,4
studies,17
stronger,14
past,5
additional,2
mapping,2
relevant,4
insight,15
systemic,10
integration,7
especially,16
threaten,3
sustainable,29
verify,3
rise,2
green,80
finance,16
contribute,13
overcoming,2
benchmark,1
directly,1
decarbonization,11
highlevel,1
openness,1
support,20
human,3
capital,6
urbanization,2
prerequisite,2
promoting,4
areas,5
growth,13
technical,2
innovation,13
industrial,5
upgrading,3
availability,1
higher,17
education,3
moderating,2
role,20
boosting,1
implementation,6
policy,58
robustness,5
basic,2
result,9
proven,1
strengthening,1
reliability,1
main,13
targeted,1
recommendations,5
backdrop,1
there,9
renewed,2
interest,7
understand,4
interlinkages,2
dirty,9
clean,18
regard,2
comovement,6
structure,6
outbreak,10
analyse,14
utilizing,2
vast,1
namely,3
heating,1
gas,12
gasoline,1
natural,5
proxied,2
s&p,4
wilder,1
hill,1
rolling,3
wavelet,4
coherence,2
identify,18
interdependencies,2
weak,4
equity,10
shortrun,3
while;,1
record,2
occasions,1
longrun,6
distinct,1
