word,frequency
thriving,1
artificial,18
intelligence,22
applications,81
driving,7
further,13
evolution,4
wireless,29
network,110
envisioned,1
6g,10
transformative,3
revolutionize,3
connected,17
thing,39
stateoftheart,18
deep,34
learning,116
big,32
analytics,11
require,12
tremendous,4
computation,13
communication,44
resource,25
causing,1
significant,15
latency,8
energy,47
consumption,7
congestion,1
privacy,69
leakage,5
training,18
inference,2
embedding,1
model,106
capabilities,4
edge,24
stands,1
out,12
disruptive,3
seamlessly,1
integrate,6
sensing,5
thereby,2
improving,10
efficiency,15
effectiveness,9
provide,45
vision,10
scalable,3
trustworthy,2
integrated,6
design,26
strategy,18
decentralized,10
machine,50
new,40
principle,3
servicedriven,1
allocation,3
optimization,9
well,23
holistic,5
endtoend,1
architecture,27
support,13
described,3
standardization,2
software,5
hardware,4
platform,9
scenario,10
discussed,17
facilitate,4
industrialization,1
commercialization,1
drone,9
general,3
uav,8
equipped,3
cameras,1
fast,3
deployed,5
wide,11
range,10
agriculture,17
aerial,4
photography,1
surveillance,4
consequently,1
automatic,2
understanding,12
visual,4
collected,3
become,14
highly,8
demanding,1
bringing,1
computer,16
closely,1
promote,5
track,5
developments,7
object,9
detection,67
tracking,8
algorithm,28
organized,1
challenge,66
workshops,1
conjunction,1
eccv,2
iccv,1
attracting,1
than,14
teams,1
around,7
world,14
largescale,6
captured,3
visdrone,3
include,12
image,11
video,8
single,4
multiobject,1
first,14
present,37
thorough,4
review,37
benchmark,6
discuss,21
collecting,2
dronebased,1
fully,4
manual,2
annotation,4
describe,6
various,45
urbansuburban,1
area,15
city,24
across,16
china,2
north,1
south,4
largest,2
ever,1
published,6
enable,14
extensive,13
evaluation,23
investigation,4
detailed,3
current,19
state,16
conclude,3
future,54
direction,31
expect,1
largely,1
boost,4
experimental,9
downloaded,1
httpsgithubcomvisdronevisdronedataset,1
digital,38
twin,20
emerging,15
surrounded,1
promise,3
potential,28
reshape,2
industry,30
society,3
overall,6
systemofsystems,1
goes,1
far,6
beyond,8
traditional,11
computerbased,1
simulation,11
replication,1
elements,2
dynamic,6
firmware,1
physical,13
counterpart,3
exist,5
side,2
sharing,28
input,3
operation,7
realtime,14
information,44
transfer,8
incorporation,1
internet,49
iot,133
3d,1
next,8
generation,8
mobile,11
5g6g,1
augmented,5
reality,10
virtual,7
distributed,23
computing,28
electronic,5
sensor,25
digitalvirtual,1
realworld,5
able,3
seamless,2
monitoring,7
prediction,16
offer,8
testing,2
analysing,1
complex,10
impossible,2
modular,1
face,2
complexity,8
effective,12
accumulation,1
unavailability,1
train,8
lack,13
processing,16
power,13
high,19
fidelity,1
need,26
interdisciplinary,2
collaboration,3
absence,1
standardized,1
methodology,7
validation,2
measure,7
early,2
stage,6
dts,3
sufficient,3
documentation,1
context,11
survey,32
aim,11
cover,3
important,14
aspect,12
realization,1
key,35
enabling,9
prospects,3
highlighted,3
insight,8
list,6
goal,6
objective,11
highlight,3
limitation,13
commercial,3
case,14
studies,26
infrastructure,16
healthcare,42
main,12
service,44
provider,4
stakeholders,3
date,2
viable,1
dimensions,5
comprehensive,21
realistic,4
cyber,20
iiot,13
called,3
edgeiiotset,2
learningbased,8
intrusion,22
mode,6
namely,4
centralized,11
federated,54
specifically,5
generated,9
purposebuilt,1
iotiiot,1
testbed,1
large,18
representative,3
device,64
protocol,24
cloudedge,1
configurations,2
type,15
